Bug_ID,Bug_Summary,Bug_Description
CASSANDRA-20121,Preclude InMemoryJournal from saving Unitialized commands; remove invalidated commands in postExecute,
CASSANDRA-20116,Avoid prepared statement invalidation race when committing schema changes,"We currently invalidate the prepared statement cache before making the schema change “live"", creating a small window where we might re-prepare a statement with the old schema. This causes us to use the wrong epoch when coordinating a request, making replicas think the coordinator is behind and failing the request until the node is bounced (or prepared statement cache invalidated)"
CASSANDRA-20065,Accord's ConfigService lock is held over large areas which cause deadlocks and performance issues,"Accord has a AbstractConfigurationService that locks on “this” and does this over large ares, even when the lock is not needed.  This has been found to cause issues as messaging gets blocked on this causing timeouts.

To better improve things, we should lower the locking to what is needed and avoid locking while triggering callbacks"
CASSANDRA-19934,NPE in AffectedRangesImpl#intersects when other has different keyspaces than local,"This error was found on Accord branch.

{code}
 org.apache.cassandra.simulator.SimulationException: Failed on seed 0xfa3d51da237d56e5; Failure creating the simulation
Caused by: java.lang.AssertionError: Errors detected during simulation
	Suppressed: java.lang.NullPointerException
		at org.apache.cassandra.tcm.sequences.LockedRanges$AffectedRangesImpl.intersects(LockedRanges.java:337)
		at org.apache.cassandra.tcm.sequences.LockedRanges.intersects(LockedRanges.java:97)
		at org.apache.cassandra.tcm.transformations.PrepareLeave.execute(PrepareLeave.java:108)
		at org.apache.cassandra.tcm.AbstractLocalProcessor.executeStrictly(AbstractLocalProcessor.java:167)
		at org.apache.cassandra.tcm.AbstractLocalProcessor.commit(AbstractLocalProcessor.java:77)
		at org.apache.cassandra.distributed.test.log.TestProcessor.commit(TestProcessor.java:62)
		at org.apache.cassandra.tcm.Commit$Handler.doVerb(Commit.java:368)
		at org.apache.cassandra.net.InboundSink.lambda$new$0(InboundSink.java:102)
		at org.apache.cassandra.net.InboundSink$Filtered.accept(InboundSink.java:70)
		at org.apache.cassandra.net.InboundSink$Filtered.accept(InboundSink.java:56)
		at org.apache.cassandra.net.InboundSink.accept(InboundSink.java:122)
{code}

In debugger I see the following

{code}
other = {LockedRanges$AffectedRangesImpl@92088} ""AffectedRangesImpl{map={ReplicationParams{class=org.apache.cassandra.locator.MetaStrategy, dc0=2, dc2=2, dc1=2}=[(-9223372036854775808,-9223372036854775808]]}}""
 map = {HashMap@93801}  size = 1
  {ReplicationParams@92097} ""ReplicationParams{class=org.apache.cassandra.locator.MetaStrategy, dc0=2, dc2=2, dc1=2}"" -> {HashSet@92098}  size = 1
{code}

{code}
map = {HashMap@92092}  size = 3
 {ReplicationParams@93810} ""ReplicationParams{class=org.apache.cassandra.locator.SimpleStrategy, replication_factor=2}"" -> {HashSet@93811}  size = 3
 {ReplicationParams@93812} ""ReplicationParams{class=org.apache.cassandra.locator.SimpleStrategy, replication_factor=3}"" -> {HashSet@93813}  size = 4
 {ReplicationParams@93814} ""ReplicationParams{class=org.apache.cassandra.locator.NetworkTopologyStrategy, dc0=3, dc2=3, dc1=3}"" -> {HashSet@93815}  size = 7
{code}

Locally we are missing the meta keyspace so can’t find it from the map and NPE.

The reason for this is that the current node is starting up

{code}
StorageService.instance.operationMode == STARTING
{code}"
CASSANDRA-19868,Fix NPE in InformDurableSerializers,"Currently, R/W concurrent workload may throw:
{code}
java.lang.NullPointerException: null
	at org.apache.cassandra.service.accord.serializers.CommandSerializers$TimestampSerializer.serialize(CommandSerializers.java:97)
	at org.apache.cassandra.service.accord.serializers.InformDurableSerializers$1.serializeBody(InformDurableSerializers.java:39)
	at org.apache.cassandra.service.accord.serializers.InformDurableSerializers$1.serializeBody(InformDurableSerializers.java:35)
	at org.apache.cassandra.service.accord.serializers.TxnRequestSerializer.serialize(TxnRequestSerializer.java:46)
	at org.apache.cassandra.service.accord.serializers.TxnRequestSerializer.serialize(TxnRequestSerializer.java:31)
	at org.apache.cassandra.net.Message$Serializer.serialize(Message.java:833)
	at org.apache.cassandra.distributed.impl.Instance.serializeMessage(Instance.java:445)
	at org.apache.cassandra.distributed.impl.Instance.lambda$registerOutboundFilter$5(Instance.java:388)
	at org.apache.cassandra.net.OutboundSink$Filtered.accept(OutboundSink.java:54)
	at org.apache.cassandra.net.OutboundSink.accept(OutboundSink.java:70)
	at org.apache.cassandra.net.MessagingService.send(MessagingService.java:534)
	at org.apache.cassandra.net.MessagingService.send(MessagingService.java:472)
	at org.apache.cassandra.service.accord.AccordMessageSink.send(AccordMessageSink.java:228)
	at accord.local.Node.send(Node.java:526)
	at accord.local.Node.lambda$send$8(Node.java:464)
	at java.base/java.lang.Iterable.forEach(Iterable.java:75)
	at accord.local.Node.send(Node.java:464)
	at accord.coordinate.MaybeRecover.onDone(MaybeRecover.java:109)
	at accord.coordinate.ReadCoordinator.handle(ReadCoordinator.java:241)
	at accord.coordinate.ReadCoordinator.onSuccess(ReadCoordinator.java:145)
	at accord.coordinate.ReadCoordinator.onSuccess(ReadCoordinator.java:43)
{code}
"
CASSANDRA-19866,Fix Journal segment allocation/switch race condition,"Concurrent r/w workload is currently throwing:
{code}
java.lang.IllegalArgumentException: Can not reference segment 1724695101990
        at org.apache.cassandra.journal.Segments.isFlushed(Segments.java:189)
        at org.apache.cassandra.journal.Journal.isFlushed(Journal.java:199)
        at org.apache.cassandra.journal.Journal$FlusherCallbacks.submit(Journal.java:151)
        at org.apache.cassandra.journal.Journal.onFlush(Journal.java:204)
        at org.apache.cassandra.service.accord.AccordJournal.appendCommand(AccordJournal.java:264)
        at org.apache.cassandra.service.accord.AccordCommandStore.appendCommands(AccordCommandStore.java:579)
        at org.apache.cassandra.service.accord.async.AsyncOperation.runInternal(AsyncOperation.java:277)
        at org.apache.cassandra.service.accord.async.AsyncOperation.run(AsyncOperation.java:303)
        at org.apache.cassandra.service.accord.async.AsyncOperation.onLoaded(AsyncOperation.java:169)
        at accord.utils.async.AsyncCallbacks.lambda$inExecutorService$0(AsyncCallbacks.java:36)
        at org.apache.cassandra.concurrent.ExecutionFailure$1.run(ExecutionFailure.java:133)
        at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
        at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
        at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
        at java.base/java.lang.Thread.run(Thread.java:829)
{code}"
CASSANDRA-19836,[Analytics] Fix NPE when writing UDT values,"When UDT field values are set to null, the bulk writer throws NPE, e.g. the stacktrace below. Although it is on the boolean type, the NPE can be thrown on all other types whenever the value is null.

{code:java}
Caused by: java.lang.NullPointerException
  at org.apache.cassandra.spark.data.types.Boolean.setInnerValue(Boolean.java:91)
  at org.apache.cassandra.spark.data.complex.CqlUdt.setInnerValue(CqlUdt.java:534)
  at org.apache.cassandra.spark.data.complex.CqlUdt.toUserTypeValue(CqlUdt.java:522)
  at org.apache.cassandra.spark.data.complex.CqlUdt.convertForCqlWriter(CqlUdt.java:169)
  at org.apache.cassandra.spark.bulkwriter.RecordWriter.maybeConvertUdt(RecordWriter.java:450)
  at org.apache.cassandra.spark.bulkwriter.RecordWriter.getBindValuesForColumns(RecordWriter.java:432)
  at org.apache.cassandra.spark.bulkwriter.RecordWriter.writeRow(RecordWriter.java:415)
  at org.apache.cassandra.spark.bulkwriter.RecordWriter.write(RecordWriter.java:202)
{code}

"
CASSANDRA-19794,NPE on Directory access during Memtable flush fails ShortPaxosSimulationTest,"Run {{ShortPaxosSimulationTest}} w/ the following arguments on trunk:

{noformat}
PaxosSimulationRunner.main(new String[] { ""run"", ""-n"", ""3..6"", ""-t"", ""1000"", ""-c"", ""2"", ""--cluster-action-limit"", ""2"", ""-s"", ""30"", ""--seed"", ""0xe0247e19a75e3bba"" });
{noformat}

You should see a failure, starting with...

{noformat}
[junit-timeout] WARN  [OptionalTasks:1] node5 2024-07-22 15:46:00,210 LegacyStateListener.java:158 - Token -6148914691236517205 changing ownership from /127.0.0.1:7012 to /127.0.0.6:7012
[junit-timeout] WARN  [OptionalTasks:1] node6 2024-07-22 15:46:00,259 SystemKeyspace.java:1287 - Using stored Gossip Generation 1577894856 as it is greater than current system time 1577894855.  See CASSANDRA-3654 if you experience problems
[junit-timeout] WARN  [OptionalTasks:1] node6 2024-07-22 15:46:00,277 LegacyStateListener.java:158 - Token -6148914691236517205 changing ownership from /127.0.0.1:7012 to /127.0.0.6:7012
[junit-timeout] ERROR [isolatedExecutor:3] node6 2024-07-22 15:46:00,469 ReconfigureCMS.java:184 - Could not finish adding the node to the Cluster Metadata Service
[junit-timeout] java.lang.IllegalStateException: Can not commit transformation: ""SERVER_ERROR""(class java.lang.NullPointerException).
[junit-timeout] 	at org.apache.cassandra.tcm.ClusterMetadataService.lambda$commit$6(ClusterMetadataService.java:491)
[junit-timeout] 	at org.apache.cassandra.tcm.ClusterMetadataService.commit(ClusterMetadataService.java:535)
[junit-timeout] 	at org.apache.cassandra.tcm.ClusterMetadataService.commit(ClusterMetadataService.java:488)
[junit-timeout] 	at org.apache.cassandra.tcm.sequences.ReconfigureCMS.executeNext(ReconfigureCMS.java:179)
[junit-timeout] 	at org.apache.cassandra.tcm.sequences.InProgressSequences.resume(InProgressSequences.java:200)
[junit-timeout] 	at org.apache.cassandra.tcm.sequences.InProgressSequences.finishInProgressSequences(InProgressSequences.java:72)
[junit-timeout] 	at org.apache.cassandra.tcm.ClusterMetadataService.reconfigureCMS(ClusterMetadataService.java:372)
[junit-timeout] 	at org.apache.cassandra.tcm.ClusterMetadataService.ensureCMSPlacement(ClusterMetadataService.java:379)
[junit-timeout] 	at org.apache.cassandra.tcm.sequences.BootstrapAndReplace.executeNext(BootstrapAndReplace.java:274)
[junit-timeout] 	at org.apache.cassandra.simulator.cluster.OnClusterReplace$ExecuteNextStep.lambda$new$f5e64c00$1(OnClusterReplace.java:162)
[junit-timeout] 	at org.apache.cassandra.distributed.api.IInvokableInstance.unsafeRunOnThisThread(IInvokableInstance.java:85)
[junit-timeout] 	at org.apache.cassandra.simulator.systems.SimulatedActionTask.lambda$asSafeRunnable$0(SimulatedActionTask.java:83)
[junit-timeout] 	at org.apache.cassandra.simulator.systems.SimulatedActionTask$1.run(SimulatedActionTask.java:93)
[junit-timeout] 	at org.apache.cassandra.simulator.systems.InterceptingExecutor$InterceptingPooledExecutor$WaitingThread.lambda$new$1(InterceptingExecutor.java:318)
[junit-timeout] 	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
[junit-timeout] 	at java.base/java.lang.Thread.run(Thread.java:829)
{noformat}

...and underneath that...

{noformat}
[junit-timeout] Thread[ScheduledTasks:1,5,node3]
[junit-timeout] java.lang.NullPointerException
[junit-timeout] 	at org.apache.cassandra.utils.btree.AbstractBTreeMap.get(AbstractBTreeMap.java:92)
[junit-timeout] 	at org.apache.cassandra.tcm.membership.Directory.endpoint(Directory.java:312)
[junit-timeout] 	at org.apache.cassandra.tcm.transformations.cms.AdvanceCMSReconfiguration.executeRemove(AdvanceCMSReconfiguration.java:242)
[junit-timeout] 	at org.apache.cassandra.tcm.transformations.cms.AdvanceCMSReconfiguration.execute(AdvanceCMSReconfiguration.java:123)
[junit-timeout] 	at org.apache.cassandra.tcm.sequences.ReconfigureCMS.applyTo(ReconfigureCMS.java:149)
[junit-timeout] 	at org.apache.cassandra.tcm.ClusterMetadata.writePlacementAllSettled(ClusterMetadata.java:275)
[junit-timeout] 	at org.apache.cassandra.db.DiskBoundaryManager.getLocalRanges(DiskBoundaryManager.java:158)
[junit-timeout] 	at org.apache.cassandra.db.DiskBoundaryManager.getDiskBoundaryValue(DiskBoundaryManager.java:121)
[junit-timeout] 	at org.apache.cassandra.db.DiskBoundaryManager.getDiskBoundaries(DiskBoundaryManager.java:65)
[junit-timeout] 	at org.apache.cassandra.db.ColumnFamilyStore.getDiskBoundaries(ColumnFamilyStore.java:3676)
[junit-timeout] 	at org.apache.cassandra.db.compaction.CompactionStrategyManager.maybeReloadDiskBoundaries(CompactionStrategyManager.java:587)
[junit-timeout] 	at org.apache.cassandra.db.compaction.CompactionStrategyManager.handleNotification(CompactionStrategyManager.java:899)
[junit-timeout] 	at org.apache.cassandra.db.lifecycle.Tracker.notify(Tracker.java:558)
[junit-timeout] 	at org.apache.cassandra.db.lifecycle.Tracker.notifySwitched(Tracker.java:547)
[junit-timeout] 	at org.apache.cassandra.db.lifecycle.Tracker.switchMemtable(Tracker.java:390)
[junit-timeout] 	at org.apache.cassandra.db.ColumnFamilyStore$Flush.<init>(ColumnFamilyStore.java:1248)
[junit-timeout] 	at org.apache.cassandra.db.ColumnFamilyStore.switchMemtable(ColumnFamilyStore.java:1074)
[junit-timeout] 	at org.apache.cassandra.db.ColumnFamilyStore.switchMemtableIfCurrent(ColumnFamilyStore.java:1055)
[junit-timeout] 	at org.apache.cassandra.db.ColumnFamilyStore.signalFlushRequired(ColumnFamilyStore.java:1482)
[junit-timeout] 	at org.apache.cassandra.db.memtable.AbstractAllocatorMemtable.flushIfPeriodExpired(AbstractAllocatorMemtable.java:240)
[junit-timeout] 	at org.apache.cassandra.db.memtable.AbstractAllocatorMemtable$1.runMayThrow(AbstractAllocatorMemtable.java:221)
[junit-timeout] 	at org.apache.cassandra.utils.WrappedRunnable.run(WrappedRunnable.java:26)
[junit-timeout] 	at org.apache.cassandra.simulator.systems.SimulatedExecution$1.call(SimulatedExecution.java:212)
[junit-timeout] 	at org.apache.cassandra.concurrent.SyncFutureTask.run(SyncFutureTask.java:68)
[junit-timeout] 	at org.apache.cassandra.simulator.systems.InterceptingExecutor$AbstractSingleThreadedExecutorPlus.lambda$new$0(InterceptingExecutor.java:585)
[junit-timeout] 	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
[junit-timeout] 	at java.base/java.lang.Thread.run(Thread.java:829)
{noformat}

Reverting the changes from CASSANDRA-19705 allows the test to complete successfully, which makes sense, as {{ensureCMSPlacement()}} shows up in the trace above."
CASSANDRA-19785,Possible memory leak in BTree.FastBuilder ,"We are having a problem with the heap growing in size, This is a large cluster > 1,000 nodes across a large number of dc’s. This is running version 4.0.11.

 

Each node has a 32GB heap, and the amount used continues to grow until it reaches 30GB, it then struggles with multiple Full GC pauses, as can be seen here:

!image-2024-07-19-08-44-56-714.png!

We took 2 heap dumps on one node a few days after it was restarted, and the heap had grown by 2.7GB

 

9{^}th{^} July

!image-2024-07-19-08-45-17-289.png!

11{^}th{^} July

!image-2024-07-19-08-45-33-933.png!

This can be seen as mainly an increase of memory used by FastThreadLocalThread, increasing from 5.92GB to 8.53GB

!image-2024-07-19-08-45-50-383.png!

!image-2024-07-19-08-46-06-919.png!

Looking deeper into this it can be seen that the growing heap is contained within the threads for the MutationStage, Native-transport-Requests, ReadStage etc. We would expect the memory used within these threads to be short lived, and not grow as time goes on.  We recently increased the size of theses threadpools, and that has increased the size of the problem.

 

Top memory usage for FastThreadLocalThread

9{^}th{^} July

!image-2024-07-19-08-46-42-979.png!

11{^}th{^} July

!image-2024-07-19-08-46-56-594.png!
This has led us to investigate whether there could be a memory leak, and we have found the following issues within the retained references in BTree.FastBuilder objects. The issue appears to stem from the reset() method, which does not properly clear all buffers.  We are not really sure how the BTree.FastBuilder works, but this this is our analysis of where a leak might occur.

 

Specifically:

Leaf Buffer Not Being Cleared:
When leaf().count is 0, the statement Arrays.fill(leaf().buffer, 0, leaf().count, null); does not clear the buffer because the end index is 0. This leaves the buffer with references to potentially large objects, preventing garbage collection and increasing heap usage.

Branch inUse Property:
If the inUse property of the branch is set to false elsewhere in the code, the while loop while (branch != null && branch.inUse) does not execute, resulting in uncleared branch buffers and retained references.

 

This is based on the following observations:

    Heap Dumps: Analysis of heap dumps shows that leaf().count is often 0, and as a result, the buffer is not being cleared, leading to high heap utilization.

!image-2024-07-19-08-47-19-517.png!

    Remote Debugging: Debugging sessions indicate that the drain() method sets count to 0, and the inUse flag for the parent branch is set to false, preventing the while loop in reset() from clearing the branch buffers.

!image-2024-07-19-08-47-34-582.png!

 "
CASSANDRA-19783,In-jvm dtest to detect InstanceClassLoaderLeaks,"It is currently very easy to add dependencies/code that cause in-jvm dtest {{InstanceClassLoader}} leaks, and hard to find them. These patches add a WeakHashSet that allows us to count the number of reachable InstanceClassLoaders in the in-jvm dtest API, so that we can use it in the ResourceLeakTest in the actual Cassandra branches in CI (it only takes 2 iterations to find the leak recently introduced by the inclusion of the {{oshi.jna}}  library, which was fixed in [https://github.com/apache/cassandra-in-jvm-dtest-api/pull/38])

Notes:

The trunk patch +requires+ the changes made in the in-jvm-dtest-api project in order to compile.

Additionally, ResourceLeakTest#looperEverythingTest (the newly-enabled test) won't fail once we pick up the changes made to include `osha.jna` in the in-jvm-dtest-api project, so I added some ""DO NOT COMMIT"" code there to prove the test can in fact detect the leak.

 

NOTE: I'm removing the `DO NOT COMMIT` code that demonstrates the test actually fails when there's a leak. If you want to try it out, you can change the line 202 in ResourceLeakTest.java to this: 

 
{code:java}
            try (Cluster cluster = (Cluster) builder.withNodes(numClusterNodes).withConfig(updater)
                    .withSharedClasses(builder.getSharedClasses().and(name -> !name.startsWith(""oshi.jna."")))
                    .start())
{code}
This removes the `oshi.jna` classes from the shared class loader, which demonstrates the failure."
