Bug_ID,Bug_Summary,Bug_Description
HADOOP-15896,Refine Kerberos based AuthenticationHandler to check proxyuser ACL,"JWTRedirectAuthenticationHandler is based on KerberosAuthenticationHandler, and authentication method in KerberosAuthenticationHandler basically do this:

 {code}
String clientPrincipal = gssContext.getSrcName().toString();
        KerberosName kerberosName = new KerberosName(clientPrincipal);
        String userName = kerberosName.getShortName();
        token = new AuthenticationToken(userName, clientPrincipal, getType());
        response.setStatus(HttpServletResponse.SC_OK);
        LOG.trace(""SPNEGO completed for client principal [{}]"",
            clientPrincipal);
{code}

It obtains the short name of the client principal and respond OK.  This is fine for verifying end user.  However, in proxy user case (knox), this authentication is insufficient because knox principal name is: knox/host1.example.com@EXAMPLE.COM . KerberosAuthenticationHandler will gladly confirm that knox is knox.  Even if the knox/host1.example.com@EXAMPLE.COM is used from botnet.rogueresearchlab.tld host.  KerberosAuthenticationHandler may not need to change, if it does not have plan to support proxy, and ignores instance name of kerberos principal.  For JWTRedirectAuthenticationHandler which is designed for proxy use case.  It should check remote host matches the clientPrincipal instance name, without this check, it makes Kerberos vulnerable."
HADOOP-15688,ABFS: InputStream wrapped in FSDataInputStream twice,"I can't read Parquet files from ABFS. It has 2 different implementations to read seekable streams, and it'll use the one that uses ByteBuffer reads if it can. It currently decides to use the ByteBuffer read implementation because the FSDataInputStream it gets back wraps another FSDataInputStream, which implements ByteBufferReadable.

That's not the most robust way to check that ByteBufferReads are supported by the ultimately underlying InputStream, but it's unnecessary and probably a mistake to double-wrap the InputStream, so let's not."
HADOOP-15661,ABFS: Add support for ACL,- Add support for ACL
HADOOP-15660,ABFS: Add support for OAuth,- Add support for OAuth
HADOOP-14597,Native compilation broken with OpenSSL-1.1.0 because EVP_CIPHER_CTX has been made opaque,"Trying to build Hadoop trunk on Fedora 26 which has openssl-devel-1.1.0 fails with this error
{code}[WARNING] /home/raviprak/Code/hadoop/trunk/hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/crypto/OpensslCipher.c: In function ‘check_update_max_output_len’:
[WARNING] /home/raviprak/Code/hadoop/trunk/hadoop-common-project/hadoop-common/src/main/native/src/org/apache/hadoop/crypto/OpensslCipher.c:256:14: error: dereferencing pointer to incomplete type ‘EVP_CIPHER_CTX {aka struct evp_cipher_ctx_st}’
[WARNING]    if (context->flags & EVP_CIPH_NO_PADDING) {
[WARNING]               ^~
{code}

https://github.com/openssl/openssl/issues/962 mattcaswell says
{quote}
One of the primary differences between master (OpenSSL 1.1.0) and the 1.0.2 version is that many types have been made opaque, i.e. applications are no longer allowed to look inside the internals of the structures
{quote}"
HADOOP-14583,wasb throws an exception if you try to create a file and there's no parent directory,"It's a known defect of the Hadoop FS API (and one we don't explicitly test for enough), but you can create a file on a path which doesn't exist. In that situation, the create() logic is expectd to create the entries.

Wasb appears to raise an exception if you try to call {{create(filepath)}} without calling {{mkdirs(filepath.getParent()}} first. That's the semantics expected of {{createNonRecursive()}}
"
HADOOP-14516,Update WASB driver to use the latest version (5.2.0) of SDK for Microsoft Azure Storage Clients,"Update WASB driver to use the latest version (5.2.0) of SDK for Microsoft Azure Storage Clients. We are currently using version 4.2.0 of the SDK.

Azure Storage Clients changes between 4.2 and 5.2:

 * Fixed Exists() calls on Shares and Directories to now populate metadata. This was already being done for Files.
 * Changed blob constants to support up to 256 MB on put blob for block blobs. The default value for put blob threshold has also been updated to half of the maximum, or 128 MB currently.
 * Fixed a bug that prevented setting content MD5 to true when creating a new file.
 * Fixed a bug where access conditions, options, and operation context were not being passed when calling openWriteExisting() on a page blob or a file.
 * Fixed a bug where an exception was being thrown on a range get of a blob or file when the options disableContentMD5Validation is set to false and useTransactionalContentMD5 is set to true and there is no overall MD5.
 * Fixed a bug where retries were happening immediately if a socket exception was thrown.
 * In CloudFileShareProperties, setShareQuota() no longer asserts in bounds. This check has been moved to create() and uploadProperties() in CloudFileShare.
 * Prefix support for listing files and directories.
 * Added support for setting public access when creating a blob container
 * The public access setting on a blob container is now a container property returned from downloadProperties.
 * Add Message now modifies the PopReceipt, Id, NextVisibleTime, InsertionTime, and ExpirationTime properties of its CloudQueueMessage parameter.
 * Populate content MD5 for range gets on Blobs and Files.
 * Added support in Page Blob for incremental copy.
 * Added large BlockBlob upload support. Blocks can now support sizes up to 100 MB.
 * Added a new, memory-optimized upload strategy for the upload* APIs. This algorithm only applies for blocks greater than 4MB and when storeBlobContentMD5 and Client-Side Encryption are disabled.
 * getQualifiedUri() has been deprecated for Blobs. Please use getSnapshotQualifiedUri() instead. This new function will return the blob including the snapshot (if present) and no SAS token.
 * getQualifiedStorageUri() has been deprecated for Blobs. Please use getSnapshotQualifiedStorageUri() instead. This new function will return the blob including the snapshot (if present) and no SAS token.
 * Fixed a bug where copying from a blob that included a SAS token and a snapshot ommitted the SAS token.
 * Fixed a bug in client-side encryption for tables that was preventing the Java client from decrypting entities encrypted with the .NET client, and vice versa.
 * Added support for server-side encryption.
 * Added support for getBlobReferenceFromServer methods on CloudBlobContainer to support retrieving a blob without knowing its type.
 * Fixed a bug in the retry policies where 300 status codes were being retried when they shouldn't be.
"
HADOOP-14513,A little performance improvement of HarFileSystem,"In the Java source of HarFileSystem.java:
{code:title=HarFileSystem.java|borderStyle=solid}
...................
...................
private Path archivePath(Path p) {
    Path retPath = null;
    Path tmp = p;
    
    // I think p.depth() need not be loop many times, depth() is a complex calculation
    for (int i=0; i< p.depth(); i++) {
      if (tmp.toString().endsWith("".har"")) {
        retPath = tmp;
        break;
      }
      tmp = tmp.getParent();
    }
    return retPath;
  }
...................
...................
{code}
 
I think the fellow is more suitable:
{code:title=HarFileSystem.java|borderStyle=solid}
...................
...................
private Path archivePath(Path p) {
    Path retPath = null;
    Path tmp = p;
    
    // just loop once
    for (int i=0,depth=p.depth(); i< depth; i++) {
      if (tmp.toString().endsWith("".har"")) {
        retPath = tmp;
        break;
      }
      tmp = tmp.getParent();
    }
    return retPath;
  }
...................
...................
{code}"
HADOOP-14473,Optimize NativeAzureFileSystem::seek for forward seeks,"{{NativeAzureFileSystem::seek()}} closes and re-opens the inputstream irrespective of forward/backward seek. It would be beneficial to re-open the stream on backward seek.

https://github.com/apache/hadoop/blob/trunk/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/NativeAzureFileSystem.java#L889"
HADOOP-14338,Fix warnings from Spotbugs in hadoop-yarn,Fix warnings from Spotbugs in hadoop-yarn since switched from findbugs to spotbugs.
