Bug_ID,Bug_Summary,Bug_Description
STORM-4131,Update log4j2 to a non-borked version,"Log4j2 2.24.1 has a serious issue that was fixed in 2.24.2: https://github.com/apache/logging-log4j2/issues/3143

We should upgrade.

"
STORM-4130,commons cli 1.9.0,
STORM-4129,Hikari 6.2.0,
STORM-4128,"Deprecate ""storm-hive""","as discussed on the list

 

Hive support will be dropped in the near future (most likely 2.8.0)"
STORM-4127,Netty 4.1.115.Final ,
STORM-4126,Kryo 5.6.2,
STORM-4125,clojure.logging.tools 1.3.0,
STORM-4124,Bouncycastle 1.79,
STORM-4123,Hikari 6.1.0,
STORM-4122,commons-exec 1.4.0,
STORM-4121,commons-csv:1.12.0,
STORM-4120,gson 2.11.0,
STORM-4119,commons-codec 1.17.1,
STORM-4118,commons-text 1.12.0,
STORM-4117,Snappy 1.1.10.7,
STORM-4115,Hive 4.0.1,"The Apache Hive Community has voted to declare the 3.x release line as End of Life (EOL). This means no further updates or releases will be made for this series.
We urge all Hive 3.x users to upgrade to the latest versions promptly to benefit from new features and ongoing support."
STORM-4114,jline 2.14.6,
STORM-4113,commons-lang3 3.17.0,
STORM-4112,Jetty 11.0.24,
STORM-4111,Zookeeper 3.9.3,
STORM-4110,Jedis 5.2.0,
STORM-4109,Netty TCNative 2.0.69.Final,
STORM-4108,Remove joda-time ,
STORM-4107,Remove ElasticSearch Module,The ES license is not compatible (flagged as Category X) and we should get rid of it. Users can still get the code by forking a previous version of storm (i.e. copy pasting). 
STORM-4106,Storm.ps1 does not show stdout\stderr output when launched from Powershell ISE,"In our product, we orchestrate Storm deployment and topology management via Powershell scripts hosted in Powershell ISE in Windows.

In this environment, the execution of Storm.ps1 does not display stdout\stderr in the Powershell ISE console output window in the same way that a regular Powershell window does.

While there [are more cumbersome ways|https://stackoverflow.com/questions/8761888/capturing-standard-out-and-error-with-start-process] of getting it to do this, there is a much simpler and more elegant way to fix this while still maintaining the desired behaviour from the changes in STORM-3847

 

I will have a pull request to address this shortly."
STORM-4105,clojure 1.12.0,
STORM-4104,Pacemaker server stability issues - e.g. shuts down when topology killed,"StormServerHandler used by Pacemaker Server (and by the Netty Server in each Worker) is fragile when handling certain Exceptions derived from IOException.

In Storm1 the same handler would ignore Exceptions and only terminate for serious JVM exceptions such as OutOfMemory.

The same in Storm2 does something similar but, instead of ignoring all 'regular' Exceptions, has a set of ALLOWED_EXCEPTIONS which can be ignored but this currently contains just IOException.

The code, as it currently stands, will only ignore specifically IOException. All other exceptions will cause the runtime to terminate after logging {color:#172b4d}""Received error in netty thread.. terminating server...""{color}

{color:#172b4d}When a connection from a worker to the Pacemaker Server terminates - either expected (e.g. killing a topology) or unexpected (e.g. node in cluster rebooting) - a SocketException is likely to be seen by Pacemaker Server. This will cause it to terminate.{color}

{color:#172b4d}Now, as SocketException is derived from IOException, I would say a more robust way for Pacemaker Server to handle this and achieve similar stability seen with Storm1 is to not only 'swallow' IOExceptions but any exception derived from IOException too (which will of course include SocketException).{color}

{color:#172b4d}Modifying the handleUncaughtException to make use of Utils.exceptionCauseIsInstanceOf would greatly enhance the stability of Pacemaker and, as StormServerHandler is used in the Worker's Netty Server, the Workers would also have greater stability from networking exceptions (e.g. a Worker receiving a transfer from a remote where the remote reboots should no longer cause the receiving Worker to restart - we do sometimes see a cascade of worker restarts under such scenarios)
{color}

{color:#172b4d}I have modified a build with such a change and can indeed see greater stability from Pacemaker Server.{color}

{color:#172b4d}I will have a pull request for the changes I have made linked to this issue soon.{color}"
STORM-4103,Guava 33.3.1-jre,
STORM-4102,hbase 2.6.1-hadoop3,
STORM-4101,Dropwizard 4.0.10,
STORM-4100,Rocksdb 9.7.3,
STORM-4099,Kafka Client 3.9.0,
STORM-4098,Prometheus Client 1.3.3,
STORM-4097,Avro 1.12.0,
STORM-4096,Metrics 4.2.28,
STORM-4095,Hadoop 3.4.1,
STORM-4094,JUnit 5.11.3,
STORM-4093,log4j2 2.24.1,
STORM-4092,Prometheus Client 1.3.2,
STORM-4091,commons-io 2.17.0,
STORM-4090,Kafka Client 3.8.1,
STORM-4089,Jersey 3.1.9,
STORM-4088,Curator 5.7.1,
STORM-4087,ASM 9.7.1,
STORM-4086,Bump com.fasterxml.jackson:jackson-bom from 2.17.2 to 2.18.1,"Jackson 2.17.3 and 2.18.1 have bug fixes.
* https://github.com/FasterXML/jackson/wiki/Jackson-Release-2.17.3
* https://github.com/FasterXML/jackson/wiki/Jackson-Release-2.18
* https://github.com/FasterXML/jackson/wiki/Jackson-Release-2.18.1"
STORM-4085,Supervisor Threads being Killed,"The AsyncLocalizer class contains a scheduler that continuously performs downloadOrUpdate operations on blobs. Currently, if an exception occurs during this update process, the exception is not properly handled, causing the thread to terminate.
As a result, workers are unable to update blobs because the threads have been killed. The only way to recover from this is by restarting the supervisor."
STORM-4084,Commons Compress 1.27.1,
STORM-4083,Jetty 11.0.23,
STORM-4082,Prometheus Client 1.3.1,
STORM-4081,Dropwizard Metrics 4.2.27,
STORM-4077,Worker being reassigned when Nimbus leadership changes,"Hey guys, I'm using Storm v2.6.1 and every time I restart the nimbus leader (currently I have 3 for high availability) the workers get reassigned and this is a bad behaviour as every topology will have no workers running for a certain period(until new workers are assigned) due to a Nimbus leadership change.

Update:

Essentially, by using the modTime as the version, we have found that, while using the {{{}LocalFsBlobStoreFile{}}}, everytime the the Nimbus leader goes down the following occurs:
 # Nimbus (1) leader goes down and a new Nimbus (2) picks up the leadership.
 # If blobs in Nimbus (2) have a different modTime workers are restarted (even though they might be the same).
 # Nimbus (1) comes back up, syncs the blobs in the startup and updates the modTime, as it downloads the blobs again.
 # If Nimbus (2) leader goes down, all the workers will be restarted again as Nimbus (1) has new modTime again.
 # This can be repeated endless as the modTime will always be different in each Nimbus leader.

We suggest a new method that obtains the file version:
{code:java}
public abstract class BlobStoreFile {
    public abstract long getModTime() throws IOException;

    public long getVersion() throws IOException {
        return getModTime();
    }
}{code}
And defaults to the current approach if not implemented and the version of the file would be something in the lines:
{code:java}
public long getVersion() throws IOException {
    byte[] bytes = DigestUtils.sha1(new FileInputStream(path));
    return Arrays.hashCode(bytes);
} {code}

Soon, I'll open the PR and link it here."
STORM-4076,KafkaTridentSpoutEmitters can poll all partitions at once instead of one at a time,"{{Currently 'KafkaTridentTransactionalSpoutEmitter' and 'KafkaTridentOpaqueEmitter' polls every partition assigned to the spout one by one while emitting new batches. }}

{{But this can be improved by leveraging Kafka Consumer's usual polling strategy. That is Kafka Broker will take care of choosing the right partition.}}

{{Advantages of this are}}
{{1. If a spout is assigned multiple Topic Partitions, the consumer doesn't have to waste time on polling partitions with no data.}}
{{2. This change will give better control over the Trident batch size, by adjusting Kafka Consumer properties.}}

{{Note: This change will affect only when the batch is emitted for the first time.}}

 "
STORM-4075,Supprt mTLS between Storm and ZK,"Zookeeper supports mTls refer: https://issues.apache.org/jira/browse/ZOOKEEPER-2094.

To connect ZK from Storm using mTls we need to enable the following setting

 
{code:java}
-Dzookeeper.clientCnxnSocket=org.apache.zookeeper.ClientCnxnSocketNetty
-Dzookeeper.client.secure=true
-Dzookeeper.ssl.keyStore.location=<>
-Dzookeeper.ssl.keyStore.password=<>
-Dzookeeper.ssl.trustStore.location=<>
-Dzookeeper.ssl.trustStore.password=<>
{code}
 "
STORM-4074,Bump joda-time:joda-time from 2.12.5 to 2.12.7,
STORM-4073,Bump com.fasterxml.jackson:jackson-bom from 2.16.1 to 2.17.2 ,
STORM-4072,Bump org.jctools:jctools-core from 2.0.1 to 4.0.5 ,
STORM-4071,Bump com.zaxxer:HikariCP from 5.0.1 to 5.1.0 ,
STORM-4070,mTls support,"Currently, Storm only supports *SASL* (Simple Authentication and Security Layer) and *Kerberos* for authentication. However, a more modern and increasingly popular method is *mTLS* (Mutual Transport Layer Security).

*mTLS* leverages SSL/TLS certificates for authentication and encryption, ensuring that both the client and server can verify each other's identities. This dual verification process provides an additional security layer compared to traditional methods.

For organizations already using trusted certificates within their infrastructure, integrating mTLS can be more straightforward. It allows them to use the existing certificate management systems, reducing the need for separate authentication setups.

In cloud environments, *mTLS* is often the preferred choice for securing communications. By addressing both encryption and authentication in a single solution, mTLS simplifies the configuration process while enhancing overall security."
