Kind,Name,AvgCyclomatic,CountDeclClass,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,RatioCommentToCode,MaxCyclomatic,SumCyclomatic,CountDeclFunction
Public Class,DummyUDF,2,,13,0,6,4,1,7,,,1,3,2,,1,1.17,2,2,
Public Class,hive.it.custom.udfs.GenericUDFRot13,1,,21,4,16,9,3,1,,,3,7,4,,3,0.06,1,3,
Public Class,hive.it.custom.udfs.UDF1,1,,31,3,28,11,15,0,,,9,14,8,,9,0.00,1,4,
Public Class,hive.it.custom.udfs.UDF2,1,,34,3,31,11,18,0,,,9,14,8,,9,0.00,1,4,
Public Class,hive.it.custom.udfs.Util,1,,6,0,6,3,1,0,,,1,3,2,,1,0.00,1,1,
Public Class,hive.it.custom.udfs.vector.VectorStringRot13,2,,33,4,29,11,14,0,,,13,21,10,,11,0.00,3,7,
Public Class,org.apache.hadoop.fs.DefaultFileAccess,3,,60,10,44,13,27,6,,,16,28,11,,23,0.14,8,11,
Public Class,org.apache.hadoop.fs.ProxyFileSystem,1,,296,50,225,111,80,22,,,70,116,62,,65,0.10,2,45,
Public Class,org.apache.hadoop.fs.ProxyLocalFileSystem,2,,127,19,86,34,37,23,,,35,56,26,,33,0.27,3,12,
Public Class,org.apache.hadoop.fs.TestProxyFileSystem,1,,38,8,27,9,20,5,,,14,18,10,,14,0.19,1,1,
Public Class,org.apache.hadoop.hive.UtilsForTest,1,,43,4,22,8,13,19,,,9,14,8,,10,0.86,2,4,
Public Class,org.apache.hadoop.hive.VersionTestBase,5,,290,32,244,77,160,14,,,111,176,69,,146,0.06,8,50,
Public Class,org.apache.hadoop.hive.accumulo.AccumuloConnectionParameters,2,,162,30,109,34,64,23,,,51,78,34,,51,0.21,4,26,
Public Class,org.apache.hadoop.hive.accumulo.AccumuloDefaultIndexScanner,2,,177,24,107,35,60,46,,,54,78,34,,53,0.43,7,22,
Public Class,org.apache.hadoop.hive.accumulo.AccumuloHiveConstants,0,,22,5,12,11,10,5,,,7,8,8,,5,0.42,0,0,
Public Class,org.apache.hadoop.hive.accumulo.AccumuloHiveRow,2,,214,31,173,51,97,10,,,81,131,50,,93,0.06,5,28,
Public Class,org.apache.hadoop.hive.accumulo.AccumuloIndexScannerException,1,,19,4,12,5,4,3,,,4,8,5,,3,0.25,1,3,
Public Class,org.apache.hadoop.hive.accumulo.AccumuloQTestUtil,1,,21,2,16,3,11,3,,,1,3,2,,1,0.19,1,1,
Public Class,org.apache.hadoop.hive.accumulo.AccumuloStorageHandler,3,,422,74,308,97,192,40,,,128,195,76,,160,0.13,9,69,
Public Class,org.apache.hadoop.hive.accumulo.AccumuloTestSetup,2,,133,20,98,34,69,15,,,57,75,32,,50,0.15,3,14,
Public Class,org.apache.hadoop.hive.accumulo.HiveAccumuloHelper,2,,310,30,175,44,106,105,,,63,104,35,,83,0.60,6,40,
Public Class,org.apache.hadoop.hive.accumulo.LazyAccumuloMap,3,,118,21,78,25,49,19,,,36,55,22,,44,0.24,6,17,
Public Class,org.apache.hadoop.hive.accumulo.LazyAccumuloRow,3,,118,15,92,25,58,11,,,43,63,22,,47,0.12,6,19,
Public Class,org.apache.hadoop.hive.accumulo.TestAccumuloConnectionParameters,1,,92,20,59,26,39,13,,,37,45,20,,38,0.22,2,7,
Public Class,org.apache.hadoop.hive.accumulo.TestAccumuloDefaultIndexScanner,1,,169,17,152,61,110,0,,,106,123,50,,107,0.00,3,16,
Public Class,org.apache.hadoop.hive.accumulo.TestAccumuloHiveRow,2,,82,19,56,23,38,7,,,41,50,23,,41,0.13,3,8,
Public Class,org.apache.hadoop.hive.accumulo.TestAccumuloIndexLexicoder,1,,143,28,112,56,74,3,,,67,80,44,,62,0.03,1,12,
Public Class,org.apache.hadoop.hive.accumulo.TestAccumuloIndexParameters,1,,79,11,68,31,35,0,,,31,44,22,,33,0.00,2,8,
Public Class,org.apache.hadoop.hive.accumulo.TestAccumuloStorageHandler,1,,502,137,295,128,245,70,,,224,240,103,,213,0.24,1,15,
Public Class,org.apache.hadoop.hive.accumulo.TestHiveAccumuloHelper,1,,217,37,157,69,131,23,,,128,138,62,,117,0.15,2,9,
Public Class,org.apache.hadoop.hive.accumulo.TestLazyAccumuloMap,1,,156,38,111,44,95,7,,,79,85,32,,79,0.06,1,5,
Public Class,org.apache.hadoop.hive.accumulo.TestLazyAccumuloRow,1,,190,44,140,47,129,6,,,106,110,35,,106,0.04,1,3,
Public Class,org.apache.hadoop.hive.accumulo.columns.ColumnMapper,2,,150,24,107,26,69,19,,,48,72,24,,53,0.18,7,23,
Public Class,org.apache.hadoop.hive.accumulo.columns.ColumnMappingFactory,5,,153,24,104,21,75,25,,,40,61,17,,54,0.24,8,20,
Public Class,org.apache.hadoop.hive.accumulo.columns.HiveAccumuloColumnMapping,1,,69,11,43,15,19,15,,,17,28,12,,18,0.35,2,10,
Public Class,org.apache.hadoop.hive.accumulo.columns.HiveAccumuloMapColumnMapping,1,,76,12,49,18,23,15,,,19,29,13,,17,0.31,3,11,
Public Class,org.apache.hadoop.hive.accumulo.columns.HiveAccumuloRowIdColumnMapping,1,,20,3,12,5,4,5,,,3,6,3,,3,0.42,1,2,
Public Class,org.apache.hadoop.hive.accumulo.columns.HiveColumn,1,,33,6,16,6,6,11,,,8,12,6,,6,0.69,1,3,
Public Class,org.apache.hadoop.hive.accumulo.columns.InvalidColumnMappingException,1,,23,5,15,6,5,3,,,5,10,6,,4,0.20,1,4,
Public Class,org.apache.hadoop.hive.accumulo.columns.TestColumnEncoding,1,,120,21,96,38,49,3,,,39,55,19,,37,0.03,1,15,
Public Class,org.apache.hadoop.hive.accumulo.columns.TestColumnMapper,2,,170,28,137,63,113,5,,,85,97,45,,87,0.04,3,10,
Public Class,org.apache.hadoop.hive.accumulo.columns.TestColumnMappingFactory,1,,156,31,119,60,78,6,,,66,80,39,,52,0.05,1,13,
Public Class,org.apache.hadoop.hive.accumulo.columns.TestHiveAccumuloColumnMapping,1,,16,2,10,6,5,4,,,4,6,4,,3,0.40,1,1,
Public Class,org.apache.hadoop.hive.accumulo.columns.TestHiveRowIdColumnMapping,1,,12,2,7,3,2,3,,,1,3,2,,1,0.43,1,1,
Public Class,org.apache.hadoop.hive.accumulo.mr.AccumuloIndexDefinition,1,,56,11,42,15,16,3,,,16,30,16,,16,0.07,4,12,
Public Class,org.apache.hadoop.hive.accumulo.mr.AccumuloIndexedOutputFormat,1,,273,36,229,58,156,8,,,110,163,59,,123,0.03,2,8,
Public Class,org.apache.hadoop.hive.accumulo.mr.HiveAccumuloRecordReader,2,,84,10,69,30,36,9,,,32,46,22,,34,0.13,5,13,
Public Class,org.apache.hadoop.hive.accumulo.mr.HiveAccumuloSplit,1,,61,9,43,17,18,9,,,17,27,12,,16,0.21,2,9,
Public Class,org.apache.hadoop.hive.accumulo.mr.HiveAccumuloTableInputFormat,4,,329,54,199,61,141,76,,,98,138,53,,114,0.38,12,39,
Public Class,org.apache.hadoop.hive.accumulo.mr.HiveAccumuloTableOutputFormat,1,,101,20,67,22,39,14,,,29,43,18,,32,0.21,4,13,
Public Class,org.apache.hadoop.hive.accumulo.mr.IndexOutputConfigurator,1,,52,9,37,18,8,6,,,7,17,9,,8,0.16,2,8,
Public Class,org.apache.hadoop.hive.accumulo.mr.TestHiveAccumuloTableInputFormat,2,,680,99,546,192,471,36,,,408,457,166,,395,0.07,9,41,
Public Class,org.apache.hadoop.hive.accumulo.mr.TestHiveAccumuloTableOutputFormat,1,,494,113,355,151,323,26,,,279,289,118,,273,0.07,1,9,
Public Class,org.apache.hadoop.hive.accumulo.mr.TestHiveAccumuloTypes,2,,719,136,525,195,514,60,,,413,420,147,,395,0.11,2,4,
Public Class,org.apache.hadoop.hive.accumulo.predicate.AccumuloPredicateHandler,3,,361,46,228,77,162,87,,,113,156,63,,131,0.38,7,45,
Public Class,org.apache.hadoop.hive.accumulo.predicate.AccumuloRangeGenerator,4,,324,40,235,51,159,59,,,98,166,49,,131,0.25,13,62,
Public Class,org.apache.hadoop.hive.accumulo.predicate.NoSuchCompareOpException,1,,19,4,12,5,4,3,,,4,8,5,,3,0.25,1,3,
Public Class,org.apache.hadoop.hive.accumulo.predicate.NoSuchPrimitiveComparisonException,1,,19,4,12,5,4,3,,,4,8,5,,3,0.25,1,3,
Public Class,org.apache.hadoop.hive.accumulo.predicate.PrimitiveComparisonFilter,2,,96,9,77,32,51,11,,,46,57,28,,41,0.14,4,12,
Public Class,org.apache.hadoop.hive.accumulo.predicate.PushdownTuple,2,,73,8,55,19,37,10,,,29,40,18,,28,0.18,5,11,
Public Class,org.apache.hadoop.hive.accumulo.predicate.TestAccumuloPredicateHandler,2,,739,82,626,303,534,31,,,452,507,234,,449,0.05,11,51,
Public Class,org.apache.hadoop.hive.accumulo.predicate.TestAccumuloRangeGenerator,2,,564,72,447,255,390,45,,,312,337,185,,314,0.10,3,24,
Public Class,org.apache.hadoop.hive.accumulo.predicate.TestPrimitiveComparisonFilter,2,,45,11,31,16,21,3,,,23,28,16,,23,0.10,2,4,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.DoubleCompare,1,,85,10,42,18,13,33,,,11,22,11,,11,0.79,2,10,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.Equal,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.GreaterThan,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.GreaterThanOrEqual,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.IntCompare,1,,59,10,43,19,13,6,,,11,22,11,,11,0.14,2,10,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.LessThan,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.LessThanOrEqual,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.Like,1,,31,6,19,10,4,6,,,5,11,7,,4,0.32,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.LongCompare,1,,60,10,44,20,14,6,,,12,23,12,,12,0.14,2,10,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.NotEqual,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.StringCompare,1,,58,10,42,23,12,6,,,13,23,14,,12,0.14,1,9,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.TestDoubleCompare,1,,124,31,93,38,59,0,,,55,68,29,,53,0.00,2,12,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.TestIntCompare,1,,111,29,82,35,52,0,,,50,61,27,,48,0.00,2,10,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.TestLongComparison,1,,124,32,92,38,58,0,,,55,68,29,,53,0.00,2,12,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.TestStringCompare,1,,114,34,80,32,53,0,,,54,63,24,,52,0.00,1,8,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloCompositeRowId,1,,64,11,22,10,12,31,,,13,18,10,,13,1.41,2,4,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloIndexParameters,2,,69,9,57,20,33,3,,,26,41,21,,25,0.05,4,13,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloRowSerializer,4,,331,41,217,62,152,73,,,111,150,55,,120,0.34,15,39,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloSerDe,1,,128,24,95,37,50,9,,,37,55,27,,37,0.09,3,17,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloSerDeParameters,2,,268,56,175,69,101,37,,,90,130,66,,84,0.21,4,39,
Public Class,org.apache.hadoop.hive.accumulo.serde.DefaultAccumuloRowIdFactory,1,,52,7,38,18,14,7,,,14,20,11,,9,0.18,1,5,
Public Class,org.apache.hadoop.hive.accumulo.serde.DelimitedAccumuloRowIdFactory,2,,71,14,53,23,31,4,,,26,36,17,,27,0.08,4,9,
Public Class,org.apache.hadoop.hive.accumulo.serde.FirstCharAccumuloCompositeRowId,1,,36,9,21,11,11,6,,,13,16,9,,11,0.29,1,2,
Public Class,org.apache.hadoop.hive.accumulo.serde.TestAccumuloRowSerializer,2,,255,56,188,77,168,11,,,132,144,61,,134,0.06,2,8,
Public Class,org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDe,1,,418,87,322,134,269,9,,,245,269,115,,236,0.03,3,20,
Public Class,org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDeParameters,1,,73,17,53,30,36,3,,,33,39,22,,33,0.06,1,5,
Public Class,org.apache.hadoop.hive.accumulo.serde.TestDefaultAccumuloRowIdFactory,1,,87,20,63,31,52,4,,,49,53,28,,49,0.06,1,3,
Public Class,org.apache.hadoop.hive.accumulo.serde.TooManyAccumuloColumnsException,1,,24,6,15,6,5,3,,,5,10,6,,4,0.20,1,4,
Public Class,org.apache.hadoop.hive.accumulo.serde.TooManyHiveColumnsException,1,,24,6,15,6,5,3,,,5,10,6,,4,0.20,1,4,
Public Class,org.apache.hadoop.hive.ant.GenHiveTemplate,2,,131,15,111,31,79,7,,,53,73,31,,60,0.06,4,19,
